lat1 
0	10	1	1	1.60944,0
0	11	28	28	0.223144,0
1	14	4	4
2	20	9	9
3	22	28	28
4	25	28	28
5	28	20	20
6	31	13	13
7	36	2	2
8	40	6	6
9
10	1	28	28
11	12	20	20
12	13	8	8
13	3	5	5
14	15	9	9
15	16	26	26
16	17	1	1
17	18	18	18
18	19	4	4
19	2	28	28
20	21	19	19
21	5	28	28
22	23	4	4
23	24	15	15
24	4	7	7
25	26	9	9
26	27	19	19
27	5	28	28
28	29	8	8
29	30	5	5
30	6	28	28
31	32	1	1
32	33	14	14
33	34	27	27
34	35	19	19
35	7	28	28
36	37	5	5
37	38	19	19
38	39	20	20
39	8	28	28
40	41	18	18
41	42	9	9
42	43	5	5
43	44	14	14
44	9	4	4

